"BeerName","Beer_ID","ABV","IBU","Brewery_ID","Style","Ounces"
"Bitter Bitch",1979,0.061,60,178,"American Pale Ale (APA)",12
"Lower De Boom",1036,0.099,92,369,"American Barleywine",8.4
"Fireside Chat",1024,0.079,45,369,"Winter Warmer",12
"Bitter American",876,0.044,42,369,"American Pale Ale (APA)",12
"Hell or High Watermelon Wheat (2009)",802,0.049,17,369,"Fruit / Vegetable Beer",12
"Hell or High Watermelon Wheat (2009)",801,0.049,17,369,"Fruit / Vegetable Beer",12
"21st Amendment Watermelon Wheat Beer (2006)",800,0.049,17,369,"Fruit / Vegetable Beer",12
"21st Amendment IPA (2006)",799,0.07,70,369,"American IPA",12
"Brew Free! or Die IPA (2008)",797,0.07,70,369,"American IPA",12
"Brew Free! or Die IPA (2009)",796,0.07,70,369,"American IPA",12
"Special Edition: Allies Win The War!",531,0.085,52,369,"English Strong Ale",12
"Hop Crisis",432,0.097,94,369,"American Double / Imperial IPA",12
"Bitter American (2011)",353,0.044,42,369,"American Pale Ale (APA)",12
"Fireside Chat (2010)",321,0.079,45,369,"Winter Warmer",12
"Back in Black",173,0.068,65,369,"American Black Ale",12
"Monk's Blood",11,0.083,35,369,"Belgian Dark Ale",12
"Brew Free! or Die IPA",10,0.07,65,369,"American IPA",12
"Hell or High Watermelon Wheat",9,0.049,17,369,"Fruit / Vegetable Beer",12
"Bimini Twist",2519,0.07,82,68,"American IPA",12
"Passion Fruit Prussia",2545,0.035,11,61,"Berliner Weissbier",12
"Send Help",2544,0.045,18,61,"American Blonde Ale",12
"Contact High",1870,0.05,28,61,"American Pale Wheat Ale",12
"Citrafest",2602,0.05,45,28,"American IPA",16
"Scarecrow",2219,0.069,65,28,"American IPA",16
"Ironman",2218,0.09,50,28,"English Strong Ale",16
"Honey Kolsch",2217,0.046,15,28,"Kölsch",16
"Copperhead Amber",2216,0.052,18,28,"Belgian Dark Ale",16
"Rude Parrot IPA",972,0.059,75,482,"American IPA",16
"British Pale Ale (2010)",866,0.054,30,482,"English Pale Ale",16
"British Pale Ale",48,0.054,30,482,"English Pale Ale",16
"Ballz Deep Double IPA",47,0.084,82,482,"American Double / Imperial IPA",16
"Colorado Native",1165,0.055,26,463,"American Amber / Red Lager",12
